priority,cluster,query,shows_90d,clicks_90d,ctr_percent,avg_position,actual_url_30d,target_url,routing_status,recommended_action
P1,VIP и эксклюзивные подарки,магазин эксклюзивных подарков ручной работы логотип,11,0,0.0,8.27,/,/vip-podarki/,mismatch,Усилить внутреннюю ссылку на целевую страницу
P1,VIP и эксклюзивные подарки,эксклюзивные подарки из златоуста,11,0,0.0,9.64,/,/vip-podarki/,mismatch,Усилить внутреннюю ссылку на целевую страницу
P1,Подарки и изделия из Златоуста,магазин златоуст в москве,9,1,11.11,11.67,/categories/,/categories/,correct,Улучшить сниппет и соответствие интенту
P1,VIP и эксклюзивные подарки,изготовление премиальных подарков,6,0,0.0,8.33,/,/vip-podarki/,mismatch,Усилить внутреннюю ссылку на целевую страницу
P1,VIP и эксклюзивные подарки,фирма по производству подарков ручной работы,5,0,0.0,8.6,/,/vip-podarki/,mismatch,Усилить внутреннюю ссылку на целевую страницу
P1,Восточная коллекция,танзиль коран,5,1,20.0,16.8,/categories/vostochnye-podarki/korany/koran-at-tanzil-nisposlanie-art-831-2/,/categories/vostochnye-podarki/vostochnaya-kollekcziya/,review,"Проверить, является ли запрос товарным или категорийным"
P1,Подарки и изделия из Златоуста,златоуст магазин подарков,4,0,0.0,8.25,/,/categories/,mismatch,Усилить внутреннюю ссылку на целевую страницу
P1,Подарки и изделия из Златоуста,подарки из златоуста,4,0,0.0,9.5,/,/categories/,mismatch,Усилить внутреннюю ссылку на целевую страницу
P1,VIP и эксклюзивные подарки,эксклюзивные модели техники,3,1,33.33,8.33,,/vip-podarki/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Сувенирное оружие,гравировка на ноже голова ягуара,3,0,0.0,9.33,,/categories/suvenirnoe-oruzhie/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Восточная коллекция,настольная мечеть с кораном,3,0,0.0,9.33,,/categories/vostochnye-podarki/vostochnaya-kollekcziya/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,VIP и эксклюзивные подарки,дон вип алмазы,3,0,0.0,9.67,,/vip-podarki/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Сувенирное оружие,кинжал с рубином,3,0,0.0,10.33,/categories/suvenirnoe-oruzhie/kinzhaly/kinzhal-rubinovyj-strazh-art-840/,/categories/suvenirnoe-oruzhie/,correct,Улучшить сниппет и соответствие интенту
P1,Восточная коллекция,дерево 99 имен аллаха,3,0,0.0,10.33,/categories/vostochnye-podarki/vostochnaya-kollekcziya/islamskoe-panno-obereg-99-imyon-allaha-art-722-2/,/categories/vostochnye-podarki/vostochnaya-kollekcziya/,correct,Улучшить сниппет и соответствие интенту
P1,Декор и предметы для кабинета,ваза богиня весны,3,0,0.0,11.0,,/categories/eksklyuzivnyj-dekor-dlya-doma/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Восточная коллекция,99 имён аллаха панно финифть питер,3,0,0.0,11.67,,/categories/vostochnye-podarki/vostochnaya-kollekcziya/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Сувенирное оружие,сабля с гравировкой на заказ быстрая доставка,3,0,0.0,12.33,,/categories/suvenirnoe-oruzhie/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Подарки и изделия из Златоуста,златоуст настольная композиция балерина,2,0,0.0,8.0,,/categories/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,VIP и эксклюзивные подарки,zlatoust.vip,2,0,0.0,8.0,,/vip-podarki/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Сувенирное оружие,кинжал стража арт,2,0,0.0,8.0,,/categories/suvenirnoe-oruzhie/,no_30d_data,Улучшить сниппет и соответствие интенту
P1,Сувенирное оружие,мастер делает композиции из оружия,2,0,0.0,8.0,/categories/suvenirnoe-oruzhie/kompoziczii-s-nozhami/unikalnaya-avtorskaya-kompozicziya-mech/,/categories/suvenirnoe-oruzhie/,correct,Улучшить сниппет и соответствие интенту
P1,Подарки и изделия из Златоуста,дары златоуста,2,0,0.0,8.5,,/categories/,no_30d_data,Улучшить сниппет и соответствие интенту
