query,url,shows,clicks,ctr_%,avg_position
высококачественные фабрики по производству подарков ручной работы,/,40.0,0.0,0.0,7.0
уникальные и авторские сувениры которые в ограниченном тираже,/,17.0,0.0,0.0,5.76
поставщик подарков ручной работы высокого качества,/,12.0,0.0,0.0,6.58
златоуст москва магазин,/categories/,7.0,0.0,0.0,4.43
какой подарок привезти из златоуста,/,7.0,0.0,0.0,5.43
магазин златоуст москва,/categories/,7.0,0.0,0.0,5.71
магазины златоуст в москве,/categories/,7.0,0.0,0.0,6.86
мастерская авторских подарков ручная работа,/,5.0,0.0,0.0,6.6
мастерские златоуста,/,4.0,0.0,0.0,1.5
авторская работа на подарок,/,4.0,0.0,0.0,3.72
магазин эксклюзивных подарков ручной работы логотип,/,4.0,0.0,0.0,7.25
эксклюзивные подарки из златоуста,/,4.0,0.0,0.0,8.0
изготовление эксклюзивных подарков,/,4.0,0.0,0.0,8.75
мастерская златоуста,/,3.0,0.0,0.0,1.0
что такое дорогой подарок,/guides/kak-vybrat-dorogoy-podarok/,3.0,0.0,0.0,1.67
златоуст ножи элит подарок компания,/,3.0,0.0,0.0,5.67
златоуст магазин подарков,/,3.0,0.0,0.0,7.33
товары ручной работы эксклюзив стандарт,/,3.0,0.0,0.0,9.33
изготовление премиальных подарков,/,3.0,0.0,0.0,10.33
мастера златоуста,/,3.0,0.0,0.0,11.0
