campaign,negative_keyword,reason
общие,бесплатно,нет коммерческого намерения
общие,своими руками,инструкционный интент
общие,как сделать,инструкционный интент
общие,рисунок,поиск изображений
общие,раскраска,нецелевой контент
общие,скачать,нецелевой контент
общие,реферат,учебный интент
общие,википедия,информационный интент
общие,авито,поиск площадки объявлений
общие,б/у,не соответствует новому премиальному товару
общие,дешево,несоответствие ценовому сегменту
общие,оптом дешево,несоответствие предложению
общие,ремонт,сервисный интент
общие,запчасти,нецелевой товар
чайно-кофейные наборы,чашка кофе,слишком широкий бытовой запрос
чайно-кофейные наборы,кувшин,слишком широкий бытовой запрос
чайно-кофейные наборы,обычная чашка,слишком широкий бытовой запрос
чайно-кофейные наборы,одноразовая посуда,слишком широкий бытовой запрос
чайно-кофейные наборы,кофеварка,слишком широкий бытовой запрос
